대분류,중분류,과목명,과목코드
교양기초,기독교의이해,기독교와세계문화,YCA1101
교양기초,기독교의이해,기독교와현대사회,YCA1102
교양기초,기독교의이해,성서와기독교,YCA1103
교양기초,글쓰기,글쓰기,YCB1101
교양기초,글쓰기,글쓰기(심화),YCB1201
대학교양,문학과예술,문학의이해,UCB1107
대학교양,문학과예술,미학,UCB1110
대학교양,문학과예술,영화의이해,UCE1105
대학교양,문학과예술,음악사,UCE1107
대학교양,문학과예술,디자인과문화,UCE1108
대학교양,문학과예술,그리스로마시대의시문학과사상,UCG1126
대학교양,문학과예술,한국미술사,UCJ1104
대학교양,문학과예술,시각예술의이해,UCJ1112
대학교양,문학과예술,한국영화의이해,UCJ1119
대학교양,문학과예술,문화콘텐츠와창조적상상력,UCJ1124
대학교양,문학과예술,"오래된미래,르네상스",YCD1001
대학교양,문학과예술,문학환경과곁사슬문학의이해,YCD1101
대학교양,문학과예술,세계문학과사회적상상력,YCD1103
대학교양,문학과예술,세계문학감상여행,YCD1104
대학교양,문학과예술,노벨문학상수상작가들,YCD1105
대학교양,문학과예술,한국문학과문화읽기,YCD1201
대학교양,문학과예술,중부유럽의문화와예술,YCD1351
대학교양,문학과예술,영화로보는현대음악,YCD1601
대학교양,문학과예술,대중음악의이해,YCD1602
대학교양,문학과예술,문학과영상예술,YCD1652
대학교양,문학과예술,아시아영화탐색,YCD1653
대학교양,문학과예술,고전문학과상상력,YCD1654
대학교양,문학과예술,신화의세계와성서의세계,YCD1655
대학교양,문학과예술,명예특임교수강의시리즈,YCD1998
대학교양,문학과예술,GREAT BOOKS & DEBATE,YCD1999
대학교양,인간과역사,한국근현대사,UCB1101
대학교양,인간과역사,서양문화의유산,UCB1103
대학교양,인간과역사,서양철학사,UCB1105
대학교양,인간과역사,현대사회와심리학,UCD1102
대학교양,인간과역사,우리교육의어제와오늘,UCD1107
대학교양,인간과역사,미술사,UCE1102
대학교양,인간과역사,동아시아와인류문명,UCG1105
대학교양,인간과역사,화면위에쓴역사,UCG1125
대학교양,인간과역사,현대사회와정신건강,UCL1205
대학교양,인간과역사,신화와철학,YCE1001
대학교양,인간과역사,역사란무엇인가,YCE1101
대학교양,인간과역사,동서문화교류와역사,YCE1102
대학교양,인간과역사,전통문화와세계교류,YCE1103
대학교양,인간과역사,20세기한국의역사와세계,YCE1104
대학교양,인간과역사,인류의기원과진화,YCE1105
대학교양,인간과역사,동아시아역사분쟁과한국,YCE1202
대학교양,인간과역사,서울의역사와문화,YCE1203
대학교양,인간과역사,전쟁과역사,YCE1251
대학교양,인간과역사,역사의제국들,YCE1252
대학교양,인간과역사,책의역사로본서구문명,YCE1253
대학교양,인간과역사,이데올로기와역사의대화,YCE1254
대학교양,인간과역사,유럽도시문화공간으로읽는역사,YCE1255
대학교양,인간과역사,현대사회의데이팅과결혼,YCE1551
대학교양,인간과역사,대인관계의심리학,YCE1601
대학교양,인간과역사,마음이란무엇인가,YCE1603
대학교양,인간과역사,성과성차의심리,YCE1604
대학교양,인간과역사,이상행동의심리,YCE1605
대학교양,인간과역사,스트레스의과학과적응의삶,YCE1607
대학교양,인간과역사,명예특임교수강의시리즈,YCE1998
대학교양,인간과역사,GREAT BOOKS & DEBATE,YCE1999
대학교양,언어와표현,고급실용문쓰기,UCJ1131
대학교양,언어와표현,문화로배우는생활프랑스어,UCK1129
대학교양,언어와표현,러시아어연습(1),UCK1130
대학교양,언어와표현,CAREER DEVELOPMENT ENGLISH(ADV),UCK1143
대학교양,언어와표현,델레스페인어특강,UCK1147
대학교양,언어와표현,WORLD ISSUES: ENGLISH THROUGH THE MEDIA(ADV),UCK1150
대학교양,언어와표현,WORLD ISSUES: ENGLISH THROUGH THE MEDIA(HONORS),UCK1158
대학교양,언어와표현,CAREER DEVELOPMENT ENGLISH(HONORS),UCK1159
대학교양,언어와표현,FROM DILEMMAS TO SOLUTIONS: MASTERING THE ART OF PROBLEM SOLVING(HONORS),UCK1165
대학교양,언어와표현,NUTRIVERSE: EXPLORING A WORLD OF HEALTH IN ENGLISH(HONORS),UCK1166
대학교양,언어와표현,WORLD WAR TWO IN ENGLISH(HONORS),UCK1167
대학교양,언어와표현,COMMUNICATION HABITS AND TECHNIQUES FOR THOUGHTFUL ENGAGEMENT AND RAPPORT(HONORS),UCK1168
대학교양,언어와표현,언어의세계,YCF1102
대학교양,언어와표현,한문(1),YCF1201
대학교양,언어와표현,한문(2),YCF1202
대학교양,언어와표현,한문(3),YCF1203
대학교양,언어와표현,중국어(1),YCF1301
대학교양,언어와표현,중국어(2),YCF1302
대학교양,언어와표현,중국어(3),YCF1303
대학교양,언어와표현,일본어(1),YCF1351
대학교양,언어와표현,일본어(2),YCF1352
대학교양,언어와표현,일본어(3),YCF1353
대학교양,언어와표현,ENGLISH FOR HUMANITIES AND SOCIAL SCIENCES,YCF1408
대학교양,언어와표현,ENGLISH FOR BUSINESS,YCF1409
대학교양,언어와표현,ENGLISH FOR PHYSICAL SCIENCES AND ENGINEERING,YCF1410
대학교양,언어와표현,ENGLISH FOR NATURAL SCIENCES AND HEALTH SCIENCES,YCF1411
대학교양,언어와표현,ENGLISH FOR IT,YCF1412
대학교양,언어와표현,ENGLISH FOR MEDICINE,YCF1413
대학교양,언어와표현,FUNDAMENTAL ENGLISH,YCF1414
대학교양,언어와표현,ENGLISH FOR DENTISTRY,YCF1415
대학교양,언어와표현,LEARNING ENGLISH THROUGH CULTURE,YCF1416
대학교양,언어와표현,LEARNING ENGLISH THROUGH READING,YCF1417
대학교양,언어와표현,LEARNING ENGLISH THROUGH WRITING,YCF1418
대학교양,언어와표현,LOST IN TRANSLATION,YCF1419
대학교양,언어와표현,SPEECH AND PRESENTATION IN ENGLISH,YCF1420
대학교양,언어와표현,LEARNING ENGLISH THROUGH SPEAKING,YCF1422
대학교양,언어와표현,ENGLISH FOR STARTUPS,YCF1423
대학교양,언어와표현,FOOD THEORY: ENGLISH THROUGH FOOD,YCF1424
대학교양,언어와표현,CULTURAL CONNECTION THROUGH CUISINE AND ENGLISH,YCF1425
대학교양,언어와표현,INTRODUCTION OF DEBATE: THE ART OF PERSUASION AND DEBATE IN ENGLISH,YCF1426
대학교양,언어와표현,THE SCIENCE AND ART OF LEARNING,YCF1427
대학교양,언어와표현,UNDERSTANDING BUSINESS THROUGH FINANCIAL STATEMENTS,YCF1428
대학교양,언어와표현,LEARNING ENGLISH THROUGH LITERATURE,YCF1429
대학교양,언어와표현,DESIGN AND BEAUTY IN ENGLINEERING,YCF1430
대학교양,언어와표현,독일어(1),YCF1451
대학교양,언어와표현,독일어(2),YCF1452
대학교양,언어와표현,독일어(3),YCF1453
대학교양,언어와표현,프랑스어(1),YCF1501
대학교양,언어와표현,프랑스어(2),YCF1502
대학교양,언어와표현,프랑스어(3),YCF1503
대학교양,언어와표현,러시아어(1),YCF1551
대학교양,언어와표현,러시아어(2),YCF1552
대학교양,언어와표현,러시아어(3),YCF1553
대학교양,언어와표현,라틴어(1),YCF1601
대학교양,언어와표현,라틴어(2),YCF1602
대학교양,언어와표현,스페인어(1),YCF1603
대학교양,언어와표현,스페인어(2),YCF1604
대학교양,언어와표현,아랍어(1),YCF1605
대학교양,언어와표현,이탈리아어(1),YCF1607
대학교양,언어와표현,이탈리아어(2),YCF1608
대학교양,언어와표현,말하기와토론,YCF1651
대학교양,언어와표현,수어,YCF1652
대학교양,언어와표현,명예특임교수강의시리즈,YCF1998
대학교양,언어와표현,GREAT BOOKS & DEBATE,YCF1999
대학교양,가치와윤리,철학과윤리,UCB1104
대학교양,가치와윤리,철학과방법,UCG1111
대학교양,가치와윤리,페미니즘의이해,UCI1124
대학교양,가치와윤리,인문학에길을묻다,YCG1004
대학교양,가치와윤리,인지종교학:종교현상에대한인지과학적-철학적이해,YCG1103
대학교양,가치와윤리,인간의역사와미래의인간,YCG1201
대학교양,가치와윤리,소비와윤리,YCG1402
대학교양,가치와윤리,포스트휴먼시대의기독교윤리적이슈,YCG1403
대학교양,가치와윤리,젠더와성평등,YCG1601
대학교양,가치와윤리,기독교윤리와사회적책임,YCG1702
대학교양,가치와윤리,여성주의와기독교,YCG1703
대학교양,가치와윤리,기독교와서구문명,YCG1704
대학교양,가치와윤리,전생애발달과자기이해,YCG1801
대학교양,가치와윤리,행복의과학,YCG1802
대학교양,가치와윤리,"인간의감정,감정의인간",YCG1804
대학교양,가치와윤리,불교와동서문화교류,YCG1852
대학교양,가치와윤리,문명과질병,YCG1853
대학교양,가치와윤리,사랑과결혼,YCG1854
대학교양,가치와윤리,포스트시대의갈등이해와해결의논법,YCG1855
대학교양,가치와윤리,우리시대의키워드:새로운가치와윤리,YCG1856
대학교양,가치와윤리,"정의,평화,창조의보존",YCG1857
대학교양,가치와윤리,가족공동체와정상성,YCG1858
대학교양,가치와윤리,지적재산제도와경제사회,YCG1859
대학교양,가치와윤리,GREAT BOOKS & DEBATE,YCG1999
대학교양,국가와사회,현대사회와사회학,UCD1101
대학교양,국가와사회,시민사회와자원봉사,UCD1105
대학교양,국가와사회,미디어.사회.문화의이해,UCE1106
대학교양,국가와사회,법과사회질서,UCI1109
대학교양,국가와사회,현대사회와행정,YCH1203
대학교양,국가와사회,진보와보수,YCH1302
대학교양,국가와사회,대한민국의산업화와민주화,YCH1303
대학교양,국가와사회,서구도시에새겨진근대의동향,YCH1304
대학교양,국가와사회,국가와교회,YCH1305
대학교양,국가와사회,재산거래와법,YCH1601
대학교양,국가와사회,헌법의이해,YCH1602
대학교양,국가와사회,가족생활과법,YCH1603
대학교양,국가와사회,인권정책과법,YCH1604
대학교양,국가와사회,창업204:현대사회생활과지식재산의보호,YCH1605
대학교양,국가와사회,범죄와형벌,YCH1606
대학교양,국가와사회,법치국가의행정과법,YCH1607
대학교양,국가와사회,법치국가와형벌권집행,YCH1608
대학교양,국가와사회,명예특임교수강의시리즈,YCH1998
대학교양,국가와사회,GREAT BOOKS & DEBATE,YCH1999
대학교양,지역과세계,경제학입문,ECO1001
대학교양,지역과세계,경제학개론,ECO1002
대학교양,지역과세계,현대사회와경제,UCD1103
대학교양,지역과세계,현대사회의법과권리,UCD1106
대학교양,지역과세계,정보사회와디지털리터러시,UCF1101
대학교양,지역과세계,세계화시대의국제관계,UCF1104
대학교양,지역과세계,동아시아신화기행,UCG1130
