# 과거 학기 분반별 담당 교수 (개발 전용 · 수기 보강 자료)
#
# 왜 필요한가: 크롤링 원본(mileage_history.db)의 courses 테이블에는 학기 구분이 없어
# "현재 학기" 담당 교수만 알 수 있다. 그런데 공학수학(MAT2017)처럼 분반-교수 교체가 잦은
# 과목은 분반 번호로 이력을 묶으면 서로 다른 교수의 컷이 섞인다.
#   예: MAT2017-01 → 2023-2 김재우 / 2024-2 석정주 / 2025-2 김재우
#       MAT2017-11 → 2024-2 박주희인데 2026-2 담당은 김재우
# 그래서 학기별 담당 교수를 여기에 적어 두고, 전처리 때 이력 한 점 한 점에 실제 교수를
# 붙여 "교수 기준"으로 재배치한다(사용자 지시).
#
# 형식: year,semester,code,division,professor   (semester: 10=1학기, 20=2학기)
# 비어 있는 과목은 기존대로 "분반 계보"를 따른다(대부분의 과목은 담당이 안정적이라 무해).
year,semester,code,division,professor
2025,20,MAT2017,01,김재우
2025,20,MAT2017,02,김동광
2025,20,MAT2017,03,김재우
2025,20,MAT2017,04,문보라
2025,20,MAT2017,05,이우제
2025,20,MAT2017,06,박주희
2025,20,MAT2017,07,박주희
2025,20,MAT2017,08,이수진
2025,20,MAT2017,09,신안숙
2025,20,MAT2017,10,박동훈
2025,20,MAT2017,11,석정주
2025,20,MAT2017,12,석정주
2025,20,MAT2017,13,신안숙
2024,20,MAT2017,01,석정주
2024,20,MAT2017,02,석정주
2024,20,MAT2017,03,김신영
2024,20,MAT2017,04,강영훈
2024,20,MAT2017,05,박동훈
2024,20,MAT2017,06,박주희
2024,20,MAT2017,07,김재우
2024,20,MAT2017,08,신재용
2024,20,MAT2017,09,박동훈
2024,20,MAT2017,10,조다혜
2024,20,MAT2017,11,박주희
2024,20,MAT2017,12,박주희
2024,20,MAT2017,13,김지구
2024,20,MAT2017,14,천세훈
2023,20,MAT2017,01,김재우
2023,20,MAT2017,02,박동훈
2023,20,MAT2017,03,이광우
2023,20,MAT2017,04,강영훈
2023,20,MAT2017,05,강영훈
2023,20,MAT2017,06,김현정
2023,20,MAT2017,07,김재우
2023,20,MAT2017,08,신안숙
2023,20,MAT2017,09,박동훈
2023,20,MAT2017,10,강영훈
2023,20,MAT2017,11,신안숙
