교과목명,학정번호,학점
기계학습,AAI3120,3
자연어처리를위한딥러닝,AAI5003,3
병리학,AHI1001,3
의학용어(1),AHI2001,3
의학용어(2),AHI2002,3
보건의료정보관리학,AHI2003,3
보건의료통계,AHI2004,3
공중보건학개론,AHI2005,3
의료관계법규,AHI2006,3
AI프로그래밍,AHI3001,3
해부생리학,AHI3002,3
역학,AHI3003,3
보건행정학,AHI3004,3
머신러닝,AHI3005,3
질병및의료행위분류1,AHI3006,3
의료의질관리,AHI3007,3
보건의료데이터관리,AHI3008,3
의료정보기술,AHI3009,3
딥러닝,AHI3010,3
질병및의료행위분류2,AHI3011,3
암등록,AHI3012,2
건강보험이론및실무,AHI3013,3
자연어처리이론및응용,AHI3014,3
현장실습,AHI3015,3
보건의료조직관리,AHI3016,3
의무기록전사,AHI3017,1
의무기록정보분석실무,AHI4001,3
의무기록정보질향상실무,AHI4002,3
보건의료정보관리실무,AHI4003,3
건강정보보호,AHI4004,2
고급자연어처리,AHI4005,3
산학연구,AHI4006,3
인공지능프로그래밍,AIC2100,3
데이터사이언스개론,AIC2110,3
인공지능개론및응용,AIC2120,3
인공지능알고리즘,AIC2130,3
딥러닝개론및응용,AIC3100,3
자연어처리와챗지피티,AIC3110,3
미국학특강,AMR3104,3
문화인류학,ANT1001,3
문화기술지,ANT2101,3
한국문화낯설게보기,ANT2102,3
가족과문화,ANT2103,3
글로벌라이제이션과이주,ANT2104,3
지구촌시대의문화인류학,ANT2105,3
세계화와다문화주의,ANT2106,3
교육과문화,ANT2108,3
의료인류학,ANT2109,3
도시인류학,ANT2110,3
문화인류학의역사,ANT3101,3
현지조사방법론,ANT3102,3
현지조사실습(1),ANT3103,3
성과문화,ANT3104,3
몸의인류학,ANT3105,3
민족과종족,ANT3106,3
현대사회와정체성,ANT3107,3
동아시아지역연구,ANT3108,3
종교와문화,ANT3109,3
환경과문화,ANT3110,3
역사인류학,ANT3111,3
대중문화와문화산업,ANT3112,3
영상인류학(1),ANT3113,3
네트워크사회의문화기획,ANT3114,3
인류학특강,ANT3115,3
생태인류학,ANT3116,3
영상인류학(2),ANT3123,3
문화와관광,ANT3202,3
일본문화연구,ANT3203,3
현대중국의사회와문화,ANT3204,3
정치인류학,ANT3205,3
빈곤의인류학,ANT3206,3
과학기술의인류학(1),ANT3207,3
동남아시아사회와문화,ANT3208,3
법인류학,ANT3209,3
상징과의례,ANT3210,3
표상문화론,ANT3211,3
디지털사회와문화,ANT3212,3
스포츠인류학,ANT3213,3
현지조사실습(2),ANT4101,3
지역연구,ANT4102,3
경제인류학,ANT4103,3
문화기술지강독,ANT4104,3
현대사회의돌봄과친밀성의구조,ANT4105,3
문화기획실습(인턴십),ANT4106,3
글로벌이슈와인류학적전망,ANT4107,3
문화갈등과글로벌가바넌스,ANT4108,3
문화비평적글쓰기,ANT4109,3
과학기술의인류학(2),ANT4110,3
현대문화인류학이론,ANT4202,3
건축공학설계,ARC2103,3
건축설계2,ARC2104,6
건축설계1,ARC2105,6
건축구조의이해,ARC2201,3
건설사업관리,ARC2202,3
건축구조역학,ARC2203,3
건축빛ㆍ음환경공학,ARC2204,3
서양건축사,ARC2301,3
건축열환경공학,ARC2302,3
기초설계,ARC2501,3
건축학개론,ARC2503,3
건축공학실무,ARC3000,3
건축법규,ARC3102,3
건축설계3,ARC3105,6
건축설계4,ARC3106,6
건축설계5,ARC3107,6
